NAME,USH18PTRAHAN,USH18PKOH,USH18PLITALIEN,USH18PMATIAS,USH18PGIFFORD,USH18PCHANDLER,USH18PDAS,USH18PBALLINGER,USH18PMALONE,USH18PGOLDER,USH18PBLANK,Pct,SS18PFINEGOLD,SS18PARMANO,SS18PPAYANO,All Others,SS18PBLANK,Total Votes Cast,SS14PLITALIEN,SS14PPAYANO,SS14PRODRIGUEZ,SS14PBLANK,Ward,Pct,SH17PVARGAS,SH17PTOOHEY,All Others,SH17PBLANK,Total Votes Cast,NAMELSAD20,GEOID20
Gardner City Ward 1 Precinct B,21.0,17.0,7.0,1.0,13.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 1 Precinct B,25027000813
Gardner City Ward 2 Precinct A,14.0,70.0,19.0,5.0,38.0,2.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 2 Precinct A,25027000814
Gardner City Ward 2 Precinct B,21.0,52.0,28.0,1.0,40.0,5.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 2 Precinct B,25027000815
Gardner City Ward 3 Precinct A,17.0,53.0,28.0,4.0,25.0,3.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 3 Precinct A,25027000816
Gardner City Ward 3 Precinct B,33.0,65.0,29.0,10.0,42.0,6.0,0.0,9.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 3 Precinct B,25027000817
Gardner City Ward 4 Precinct A,25.0,71.0,18.0,9.0,18.0,10.0,2.0,8.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 4 Precinct A,25027000818
Gardner City Ward 4 Precinct B,13.0,27.0,10.0,10.0,17.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 4 Precinct B,25027000819
Gardner City Ward 5 Precinct A,29.0,56.0,23.0,6.0,23.0,2.0,1.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 5 Precinct A,25027000820
Gardner City Ward 5 Precinct B,28.0,82.0,27.0,8.0,35.0,5.0,1.0,4.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 5 Precinct B,25027000821
Groton Town Precinct 1,155.0,184.0,65.0,23.0,89.0,46.0,9.0,5.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Town Precinct 1,25017000859
